メーカー名,正規化名,分類,正式商号,法人番号,所在地,公式HP,電話,問い合わせフォームURL,メール,取得手段,出典URL,確度,備考,別名
E-Kitap Projesi & Cheapest Books,E-Kitap Projesi & Cheapest Books,英字ブランド,,,,,,,,,,不明,,
ピュリナ ワン,ピュリナ ワン,和名法人らしき,,,,,,,,,,不明,,
GEMBLO COMPANY,GEMBLO COMPANY,英字ブランド,,,,,,,,,,不明,,
カモ井加工紙,カモ井加工紙,和名法人らしき,,,,,,,,,,不明,,
SAVOX,SAVOX,英字ブランド,,,,,,,,,,不明,,
メグロ化学工業,メグロ化学工業,和名法人らしき,,,,,,,,,,不明,,
MINTGAMES,MINTGAMES,英字ブランド,,,,,,,,,,不明,,
Abrams Books,Abrams Books,英字ブランド,,,,,,,,,,不明,,
Vitantonio (ビタントニオ),Vitantonio,和名法人らしき,,,,,,,,,,不明,,ビタントニオ
ウエスタンデジタル(Western Digital),ウエスタンデジタル,和名法人らしき,,,,,,,,,,不明,,Western Digital
新日本法規出版,新日本法規出版,和名法人らしき,,,,,,,,,,不明,,
récolte,récolte,英字ブランド,,,,,,,,,,不明,,
DXアンテナ,DXアンテナ,和名法人らしき,,,,,,,,,,不明,,アンテナ | DX
フシマン,フシマン,和名法人らしき,,,,,,,,,,不明,,
メディックメディア,メディックメディア,和名法人らしき,,,,,,,,,,不明,,
Doubleday,Doubleday,英字ブランド,,,,,,,,,,不明,,
第一ビニール,第一ビニール,和名法人らしき,,,,,,,,,,不明,,
Yale University Press,Yale University Press,英字ブランド,,,,,,,,,,不明,,
Bolinda/Audible Audio,Bolinda,英字ブランド,,,,,,,,,,不明,,Audible Audio
Teenage Engineering,Teenage Engineering,英字ブランド,,,,,,,,,,不明,,
AMOVO,AMOVO,英字ブランド,,,,,,,,,,不明,,
Hi-Spec,Hi-Spec,英字ブランド,,,,,,,,,,不明,,
ポケモン(Pokemon),ポケモン,和名法人らしき,,,,,,,,,,不明,,Pokemon
arboleaf,arboleaf,英字ブランド,,,,,,,,,,不明,,
Seefox,Seefox,英字ブランド,,,,,,,,,,不明,,
Lemorele,Lemorele,英字ブランド,,,,,,,,,,不明,,
エーペックス(Apex),エーペックス,和名法人らしき,,,,,,,,,,不明,,Apex
LEWITT,LEWITT,英字ブランド,,,,,,,,,,不明,,
MIHAMA,MIHAMA,英字ブランド,,,,,,,,,,不明,,
株式会社マーベラス,株式会社マーベラス,和名法人らしき,,,,,,,,,,不明,,
Barnes & Noble,Barnes & Noble,英字ブランド,,,,,,,,,,不明,,
Wantek,Wantek,英字ブランド,,,,,,,,,,不明,,
テスコム,テスコム,和名法人らしき,,,,,,,,,,不明,,
Seesii,Seesii,英字ブランド,,,,,,,,,,不明,,
21Technology,21Technology,英字ブランド,,,,,,,,,,不明,,
anoutway,anoutway,英字ブランド,,,,,,,,,,不明,,
Eonon,Eonon,英字ブランド,,,,,,,,,,不明,,
Xvive,Xvive,英字ブランド,,,,,,,,,,不明,,
リンナイ(Rinnai),リンナイ,和名法人らしき,,,,,,,,,,不明,,Rinnai
JPjoy,JPjoy,英字ブランド,,,,,,,,,,不明,,
小川耕太郎∞百合子社,小川耕太郎∞百合子社,和名法人らしき,,,,,,,,,,不明,,
ダイヤモンド社,ダイヤモンド社,和名法人らしき,,,,,,,,,,不明,,
Faber & Faber,Faber & Faber,英字ブランド,,,,,,,,,,不明,,
pa-man,pa-man,英字ブランド,,,,,,,,,,不明,,
ソフトーク,ソフトーク,和名法人らしき,,,,,,,,,,不明,,
Greneo,Greneo,英字ブランド,,,,,,,,,,不明,,
RAILROAD SOCK(レイルロードソック),RAILROAD SOCK,和名法人らしき,,,,,,,,,,不明,,レイルロードソック
CoolDove,CoolDove,英字ブランド,,,,,,,,,,不明,,
Smith & Nephew,Smith & Nephew,英字ブランド,,,,,,,,,,不明,,
野田琺瑯(Nodahoro),野田琺瑯,和名法人らしき,,,,,,,,,,不明,,Nodahoro
naef,naef,英字ブランド,,,,,,,,,,不明,,
アース渦巻香,アース渦巻香,和名法人らしき,,,,,,,,,,不明,,
KÄRCHER,KÄRCHER,英字ブランド,,,,,,,,,,不明,,
いいずな書店,いいずな書店,和名法人らしき,,,,,,,,,,不明,,
シモジマ(SHIMOJIMA),シモジマ,和名法人らしき,,,,https://www.shimojima.co.jp/,03-3864-0061,https://www.shimojima.co.jp/support/contact.html,,既取得55社(T-20260804-001),https://www.shimojima.co.jp/aboutus/outline.html,確定,[既取得55社(T-20260804-001)] 包装用品の専門商社(東証プライム上場、東京都台東区)。本社03-3864-0061。メール無くフォームのみ / 規模:中小 / 元メーカー名表記:シモジマ SHIMOJIMA,SHIMOJIMA
辻希美プロデュース,辻希美プロデュース,和名法人らしき,,,,,,,,,,不明,,
イースター,イースター,和名法人らしき,,,,,,,,,,不明,,
ドレミ楽譜出版社,ドレミ楽譜出版社,和名法人らしき,株式会社ドレミ楽譜出版社,4011601004938,〒178-0065 東京都練馬区西大泉5丁目33番32号（本社）／〒171-0033 東京都豊島区高田3丁目10番10号 ドレミ・サーティース・メモリアル4F（営業部）,https://www.doremi.co.jp/,03-5291-1645,,,Exa検索(エージェント取得),https://www.doremi.co.jp/pages/2/ ; https://houjin.jp/c/4011601004938 ; https://www.j-gakufu.com/summary-member.html,確定,[Exa検索(エージェント取得)] 電話は営業部の番号（公式会社案内および日本楽譜出版協会の会員名簿で一致）。本社の代表番号 03-3988-6451 はマピオン電話帳（第三者）由来のため採用せず / Exa取得日:2026-09-04,
Deltran,Deltran,英字ブランド,,,,,,,,,,不明,,
NSW,NSW,英字ブランド,株式会社バンダイナムコエンターテインメント,7010701019273,〒108-0014 東京都港区芝5丁目37番8号 バンダイナムコ未来研究所,https://www.bandainamcoent.co.jp/,03-6744-5500,,,Exa検索(エージェント取得),https://www.bandainamcoent.co.jp/corporate/overview/detail/ ; https://companydata.tsujigawa.com/company/7010701019273/,確定,[Exa検索(エージェント取得)] **そもそも 'NSW' はブランド名ではなく Nintendo Switch を指す Amazon 上の表記**。v14 のメーカー抽出のノイズ行。代表商品『釣りスピリッツ Nintendo Switchバージョン』から実メーカー（バンダイナムコエンターテインメント）を特定できた。電話は公式会社概要記載の代表番号。法人番号は第三者DB由来（参考） / Exa取得日:2026-09-04,
日経BP,日経BP,和名法人らしき,,,,,,,,,,不明,,日経 | BP
Kitty Media,Kitty Media,英字ブランド,,,,,,,,,,不明,,
Magrathea Publishing,Magrathea Publishing,英字ブランド,,,,,,,,,,不明,,
Sweet Cherry Publishing,Sweet Cherry Publishing,英字ブランド,,,,,,,,,,不明,,
P&S Detailing Products,P&S Detailing Products,英字ブランド,,,,,,,,,,不明,,
昭文社,昭文社,和名法人らしき,,,,,,,,,,不明,,
スズキ機工(Suzuki Kikoh),スズキ機工,和名法人らしき,,,,,,,,,,不明,,Suzuki Kikoh
日経BP 日本経済新聞出版本部,日経BP 日本経済新聞出版本部,和名法人らしき,,,,,,,,,,不明,,日経 日本経済新聞出版本部 | BP
コミネ(KOMINE),コミネ,和名法人らしき,,,,,,,,,,不明,,KOMINE
Public Publishing,Public Publishing,英字ブランド,,,,,,,,,,不明,,
ジャニーズ・エンタテイメント,ジャニーズ・エンタテイメント,和名法人らしき,株式会社ジャニーズ・エンタテイメント,2011001042053,〒107-0052 東京都港区赤坂8丁目11番20号,,,,,Exa検索(エージェント取得),https://datagojp.com/corporate/2011001042053,候補,[Exa検索(エージェント取得)] 法人番号・商号・所在地は取れたが、**連絡手段はゼロ**。ジャニーズ事務所は2023-10に SMILE-UP. へ商号変更し、マネジメントは STARTO ENTERTAINMENT へ移管。レーベルとしての公式サイト・窓口は現存しない。登記情報の最終変更は2019-02-26。**実務上は連絡不能** / Exa取得日:2026-09-04,
SAMSUNG,SAMSUNG,英字ブランド,,,,,,,,,,不明,,
美和ロック(Miwalock),美和ロック,和名法人らしき,,,,,,,,,,不明,,Miwalock
Kurilon,Kurilon,英字ブランド,,,,,,,,,,不明,,
Baby Shusher,Baby Shusher,英字ブランド,,,,,,,,,,不明,,
EveryDrop by Whirlpool,EveryDrop by Whirlpool,英字ブランド,,,,,,,,,,不明,,
Workman Publishing,Workman Publishing,英字ブランド,,,,,,,,,,不明,,
Authors Equity,Authors Equity,英字ブランド,,,,,,,,,,不明,,
StarTech.com(スターテック),StarTech.com,和名法人らしき,,,,https://www.startech.com/,,https://www.startech.com/en-us/contact,,既取得55社(T-20260804-001),https://jp.tdsynnex.com/vendor/startech-com/,確定,[既取得55社(T-20260804-001)] カナダ発ブランド。国内取扱いは正規代理店TD SYNNEX経由。直取引困難・代理店/正規窓口。メール無く問い合わせフォームのみ / 規模:海外 / 元メーカー名表記:StarTech.com スターテック,スターテック
HiGrace,HiGrace,英字ブランド,,,,,,,,,,不明,,
ACKDZU,ACKDZU,英字ブランド,,,,,,,,,,不明,,
Revive Classics,Revive Classics,英字ブランド,,,,,,,,,,不明,,
新書館,新書館,和名法人らしき,,,,,,,,,,不明,,
WSS Playground,WSS Playground,英字ブランド,,,,,,,,,,不明,,
Leatherwood Bespoke Rosin 社,Leatherwood Bespoke Rosin 社,和名法人らしき,,,,,,,,,,不明,,Leatherwood Bespoke Rosin
SMM ITAKU (MUSIC),SMM ITAKU,英字ブランド,,,,,,,,,,不明,,MUSIC
MITSUBA(ミツバサンコーワ),MITSUBA,和名法人らしき,,,,,,,,,,不明,,ミツバサンコーワ
日本一ソフトウェア,日本一ソフトウェア,和名法人らしき,,,,,,,,,,不明,,
Rough Trade,Rough Trade,英字ブランド,,,,,,,,,,不明,,
中央経済社,中央経済社,和名法人らしき,,,,,,,,,,不明,,
TABWEE,TABWEE,英字ブランド,,,,,,,,,,不明,,
KORG(コルグ),KORG,和名法人らしき,,,,,,,,,,不明,,コルグ
Scuf,Scuf,英字ブランド,,,,,,,,,,不明,,
EDISONmama(エジソンママ),EDISONmama,和名法人らしき,,,,,,,,,,不明,,エジソンママ
Ergobaby(エルゴベビー),Ergobaby,和名法人らしき,,,,,,,,,,不明,,エルゴベビー
Wipuku,Wipuku,英字ブランド,,,,,,,,,,不明,,
Relife,Relife,英字ブランド,,,,,,,,,,不明,,
ハイメス,ハイメス,和名法人らしき,,,,,,,,,,不明,,
Yunko,Yunko,英字ブランド,,,,,,,,,,不明,,
旺文社,旺文社,和名法人らしき,,,,,,,,,,不明,,
シュワルベ(SCHWALBE),シュワルベ,和名法人らしき,,,,,,,,,,不明,,SCHWALBE
エジソン(EDISON),エジソン,和名法人らしき,,,,,,,,,,不明,,EDISON
MUSIC NOMAD ( ミュージックノマド ),MUSIC NOMAD,和名法人らしき,,,,,,,,,,不明,,ミュージックノマド
マツヨシ,マツヨシ,和名法人らしき,,,,,,,,,,不明,,
コジマ（PB）,コジマ,和名法人らしき,,,,,,,,,,不明,,PB
BIIOONES,BIIOONES,英字ブランド,,,,,,,,,,不明,,
岸ゴム,岸ゴム,和名法人らしき,,,,,,,,,,不明,,
BAMBO Nature(バンボネイチャー),BAMBO Nature,和名法人らしき,,,,,,,,,,不明,,バンボネイチャー
キャットアイ(CAT EYE),キャットアイ,和名法人らしき,,,,,,,,,,不明,,CAT EYE
ピットワーク(Pitwork),ピットワーク,和名法人らしき,,,,,,,,,,不明,,Pitwork
TOTO,TOTO,英字ブランド,,,,,,,,,,不明,,
Turelar,Turelar,英字ブランド,,,,,,,,,,不明,,
Michael Joseph,Michael Joseph,英字ブランド,,,,,,,,,,不明,,
ライラクス(LayLax),ライラクス,和名法人らしき,,,,,,,,,,不明,,LayLax
Macmillan Collector's Library,Macmillan Collector's Library,英字ブランド,,,,,,,,,,不明,,
Media Blasters,Media Blasters,英字ブランド,,,,,,,,,,不明,,
セメダイン(Cemedine),セメダイン,和名法人らしき,,,,,,,,,,不明,,Cemedine
Kino Lorber,Kino Lorber,英字ブランド,,,,,,,,,,不明,,
建設物価調査会,建設物価調査会,和名法人らしき,,,,,,,,,,不明,,
Ace,Ace,英字ブランド,,,,,,,,,,不明,,
うんちが臭わない袋BOS,うんちが臭わない袋BOS,和名法人らしき,,,,,,,,,,不明,,うんちが臭わない袋 | BOS
シンジェンタジャパン,シンジェンタジャパン,和名法人らしき,,,,,,,,,,不明,,
柳宗理(Yanagi Sori),柳宗理,和名法人らしき,,,,,,,,,,不明,,Yanagi Sori
BEAT RECORDS / Night Time Stories,BEAT RECORDS,英字ブランド,,,,,,,,,,不明,,Night Time Stories
イージースタンド,イージースタンド,和名法人らしき,,,,,,,,,,不明,,
A-sketch,A-sketch,英字ブランド,,,,,,,,,,不明,,
コミックス・ウェーブ・フィルム,コミックス・ウェーブ・フィルム,和名法人らしき,,,,,,,,,,不明,,
HarperCollins,HarperCollins,英字ブランド,,,,,,,,,,不明,,
マックスファクトリー(Max Factory),マックスファクトリー,和名法人らしき,,,,,,,,,,不明,,Max Factory
KARLTUFOU,KARLTUFOU,英字ブランド,,,,,,,,,,不明,,
Viking,Viking,英字ブランド,,,,,,,,,,不明,,
PowerA,PowerA,英字ブランド,,,,,,,,,,不明,,
Kakehashi Games,Kakehashi Games,英字ブランド,,,,,,,,,,不明,,
ユピテル(Yupiteru),ユピテル,和名法人らしき,,,,,,,,,,不明,,Yupiteru
THORNDIKE PRESS LARGE PRINT,THORNDIKE PRESS LARGE PRINT,英字ブランド,,,,,,,,,,不明,,
ケンウッド(KENWOOD),ケンウッド,和名法人らしき,,,,,,,,,,不明,,KENWOOD
ハスクバーナ・ゼノア,ハスクバーナ・ゼノア,和名法人らしき,,,,,,,,,,不明,,
Logitech G,Logitech G,英字ブランド,,,,,,,,,,不明,,
全日出版社,全日出版社,和名法人らしき,,,,,,,,,,不明,,
au(エーユー),au,和名法人らしき,,,,,,,,,,不明,,エーユー
POLED,POLED,英字ブランド,,,,,,,,,,不明,,
Splendid Film/WVG,Splendid Film,英字ブランド,,,,,,,,,,不明,,WVG
ASUS,ASUS,英字ブランド,,,,,,,,,,不明,,
Thames & Hudson,Thames & Hudson,英字ブランド,,,,,,,,,,不明,,
ASRock,ASRock,英字ブランド,,,,,,,,,,不明,,
C&L,C&L,英字ブランド,,,,,,,,,,不明,,
FOSTEX,FOSTEX,英字ブランド,,,,,,,,,,不明,,
PETLIBRO,PETLIBRO,英字ブランド,,,,,,,,,,不明,,
ストームレーベルズ,ストームレーベルズ,和名法人らしき,,,,,,,,,,不明,,
(株)インテリジェントシステムズ,インテリジェントシステムズ,和名法人らしき,,,,,,,,,,不明,,
共立電気計器,共立電気計器,和名法人らしき,,,,,,,,,,不明,,
Jiobbo,Jiobbo,英字ブランド,,,,,,,,,,不明,,
Disney Baby,Disney Baby,英字ブランド,,,,,,,,,,不明,,
たのつく,たのつく,和名法人らしき,,,,,,,,,,不明,,
山川出版社,山川出版社,和名法人らしき,,,,,,,,,,不明,,
株式会社アザレア,株式会社アザレア,和名法人らしき,,,,,,,,,,不明,,
Suntory,Suntory,英字ブランド,,,,,,,,,,不明,,
ストレート(STRAIGHT),ストレート,和名法人らしき,,,,,,,,,,不明,,STRAIGHT
三祐,三祐,和名法人らしき,,,,,,,,,,不明,,
Locatis,Locatis,英字ブランド,,,,,,,,,,不明,,
シマノ(SHIMANO),シマノ,和名法人らしき,,,,,,,,,,不明,,SHIMANO
クロノス,クロノス,和名法人らしき,,,,,,,,,,不明,,
近与(KONYO),近与,和名法人らしき,,,,,,,,,,不明,,KONYO
ワイドハイター,ワイドハイター,和名法人らしき,,,,,,,,,,不明,,
Patch Works,Patch Works,英字ブランド,,,,,,,,,,不明,,
岩手県木炭協会,岩手県木炭協会,和名法人らしき,,,,,,,,,,不明,,
NICHIBAN ニチバン,NICHIBAN ニチバン,和名法人らしき,,,,,,,,,,不明,,ニチバン | NICHIBAN
アストロプロダクツ,アストロプロダクツ,和名法人らしき,,,,https://www.astro-p.co.jp/,048-501-7704,,infobox@astro-p.co.jp,既取得55社(T-20260804-001),https://www.astro-p.co.jp/help/corporate,確定,[既取得55社(T-20260804-001)] 運営=株式会社ワールドツール(埼玉県深谷市)。工具・DIY。FAX 048-501-7708、平日9-18時 / 規模:中小 / 元メーカー名表記:アストロプロダクツ Astro Products,
東洋経済新報社,東洋経済新報社,和名法人らしき,,,,,,,,,,不明,,
TRIGGERPOINT(トリガーポイント),TRIGGERPOINT,和名法人らしき,,,,,,,,,,不明,,トリガーポイント
Farecla(ファレクラ),Farecla,和名法人らしき,,,,,,,,,,不明,,ファレクラ
TAC出版,TAC出版,和名法人らしき,,,,,,,,,,不明,,出版 | TAC
HIDISC,HIDISC,英字ブランド,,,,,,,,,,不明,,
Neo Products,Neo Products,英字ブランド,,,,,,,,,,不明,,
Clyrox,Clyrox,英字ブランド,,,,,,,,,,不明,,
Criterion Collection,Criterion Collection,英字ブランド,,,,,,,,,,不明,,
Zebra Technologies,Zebra Technologies,英字ブランド,,,,,,,,,,不明,,
HTB 北海道テレビ,HTB 北海道テレビ,和名法人らしき,,,,,,,,,,不明,,北海道テレビ | HTB
"Supergiant Games, LLC","Supergiant Games, LLC",海外法人,,,,,,,,,,不明,,
浅香工業(Asaka Kougyou),浅香工業,和名法人らしき,,,,,,,,,,不明,,Asaka Kougyou
Destination Moon,Destination Moon,英字ブランド,,,,,,,,,,不明,,
VIAVISION,VIAVISION,英字ブランド,,,,,,,,,,不明,,
日本文化科学社,日本文化科学社,和名法人らしき,,,,,,,,,,不明,,
ヴィータ,ヴィータ,和名法人らしき,,,,,,,,,,不明,,
ぎょうせい,ぎょうせい,和名法人らしき,,,,,,,,,,不明,,
THE NORTH FACE,THE NORTH FACE,英字ブランド,,,,,,,,,,不明,,
Anime Ltd,Anime Ltd,海外法人,,,,,,,,,,不明,,
Kreg,Kreg,英字ブランド,,,,,,,,,,不明,,
KOCHCHEMIE,KOCHCHEMIE,英字ブランド,,,,,,,,,,不明,,
Rockit(ロキット),Rockit,和名法人らしき,,,,,,,,,,不明,,ロキット
El Dia,El Dia,英字ブランド,,,,,,,,,,不明,,
PUMWHIP,PUMWHIP,英字ブランド,,,,,,,,,,不明,,
ハピラ(Hapila),ハピラ,和名法人らしき,,,,,,,,,,不明,,Hapila
ルミカ(Lumica),ルミカ,和名法人らしき,,,,,,,,,,不明,,Lumica
医食同源ドットコム,医食同源ドットコム,和名法人らしき,,,,,,,,,,不明,,
パール金属株式会社,パール金属株式会社,和名法人らしき,,,,,,,,,,不明,,
エリエール,エリエール,和名法人らしき,,,,,,,,,,不明,,
消臭ストロング,消臭ストロング,和名法人らしき,,,,,,,,,,不明,,
Mazuri,Mazuri,英字ブランド,,,,,,,,,,不明,,
タミヤ(TAMIYA),タミヤ,和名法人らしき,,,,,,,,,,不明,,TAMIYA
ANTERCITE,ANTERCITE,英字ブランド,,,,,,,,,,不明,,
VINSGUIR,VINSGUIR,英字ブランド,,,,,,,,,,不明,,
Trijicon(トリジコン),Trijicon,和名法人らしき,,,,,,,,,,不明,,トリジコン
Portfolio,Portfolio,英字ブランド,,,,,,,,,,不明,,
キャロムショット,キャロムショット,和名法人らしき,,,,,,,,,,不明,,
JLM,JLM,英字ブランド,,,,,,,,,,不明,,
ドギーマン,ドギーマン,和名法人らしき,,,,https://www.doggyman.com/,0120-086-192,https://www.doggyman.com/inquiry/,,既取得55社(T-20260804-001),https://www.doggyman.com/?p=information,確定,[既取得55社(T-20260804-001)] ドギーマンハヤシ株式会社（大阪市東成区）。0120-086-192はお客様相談窓口。本社代表 06-6977-6711 / 規模:大手 / 元メーカー名表記:ドギーマン,
Dibuy,Dibuy,英字ブランド,,,,,,,,,,不明,,
ショウエイ(Shoei),ショウエイ,和名法人らしき,,,,,,,,,,不明,,Shoei
ジクラ (Zicra),ジクラ,和名法人らしき,,,,,,,,,,不明,,Zicra
三井化学アグロ株式会社,三井化学アグロ株式会社,和名法人らしき,,,,,,,,,,不明,,
レック(LEC),レック,和名法人らしき,,,,,,,,,,不明,,LEC
ウエスト(West),ウエスト,和名法人らしき,,,,,,,,,,不明,,West
Osmo,Osmo,英字ブランド,,,,,,,,,,不明,,
B ZONE,B ZONE,英字ブランド,,,,,,,,,,不明,,
ぼん家具,ぼん家具,和名法人らしき,,,,,,,,,,不明,,
Effects Bakery,Effects Bakery,英字ブランド,,,,,,,,,,不明,,
数研出版,数研出版,和名法人らしき,,,,,,,,,,不明,,
MENT RECORDING,MENT RECORDING,英字ブランド,,,,,,,,,,不明,,
Bicycle,Bicycle,英字ブランド,,,,,,,,,,不明,,
Harper Perennial Modern Classics,Harper Perennial Modern Classics,英字ブランド,,,,,,,,,,不明,,
Mont-bell(モンベル),Mont-bell,和名法人らしき,,,,,,,,,,不明,,モンベル
マイクロマガジン社,マイクロマガジン社,和名法人らしき,,,,,,,,,,不明,,
Rockstar Games,Rockstar Games,英字ブランド,,,,,,,,,,不明,,
Tamagotchi,Tamagotchi,英字ブランド,,,,,,,,,,不明,,
ニチネン(Nitinen),ニチネン,和名法人らしき,,,,,,,,,,不明,,Nitinen
同友館,同友館,和名法人らしき,,,,,,,,,,不明,,
Virgin,Virgin,英字ブランド,,,,,,,,,,不明,,
Bethesda,Bethesda,英字ブランド,,,,,,,,,,不明,,
Macally,Macally,英字ブランド,,,,,,,,,,不明,,
William Collins,William Collins,英字ブランド,,,,,,,,,,不明,,
壽屋(KOTOBUKIYA),壽屋,和名法人らしき,,,,,,,,,,不明,,KOTOBUKIYA
ワニブックス,ワニブックス,和名法人らしき,,,,,,,,,,不明,,
JEYFLAW,JEYFLAW,英字ブランド,,,,,,,,,,不明,,
株式会社 山本人形,株式会社山本人形,和名法人らしき,,,,,,,,,,不明,,
La Tromba,La Tromba,英字ブランド,,,,,,,,,,不明,,
"Farrar, Straus and Giroux","Farrar, Straus and Giroux",英字ブランド,,,,,,,,,,不明,,
KRE,KRE,英字ブランド,,,,,,,,,,不明,,
海洋堂(KAIYODO),海洋堂,和名法人らしき,,,,,,,,,,不明,,KAIYODO
ENTEKE,ENTEKE,英字ブランド,,,,,,,,,,不明,,
Puffin,Puffin,英字ブランド,,,,,,,,,,不明,,
Focusrite,Focusrite,英字ブランド,,,,,,,,,,不明,,
Amigo Spiel + Freizeit,Amigo Spiel + Freizeit,英字ブランド,,,,,,,,,,不明,,
幻冬舎,幻冬舎,和名法人らしき,,,,,,,,,,不明,,
Nulea,Nulea,英字ブランド,,,,,,,,,,不明,,
よしもとミュージックエンタテインメント,よしもとミュージックエンタテインメント,和名法人らしき,,,,,,,,,,不明,,
Hawk Press,Hawk Press,英字ブランド,,,,,,,,,,不明,,
Outlook Verlag,Outlook Verlag,英字ブランド,,,,,,,,,,不明,,
IK Multimedia,IK Multimedia,英字ブランド,,,,,,,,,,不明,,
MANGA ENTERTAINMENT,MANGA ENTERTAINMENT,英字ブランド,,,,,,,,,,不明,,
new balance(ニューバランス),new balance,和名法人らしき,,,,,,,,,,不明,,ニューバランス
アニマル・ワン,アニマル・ワン,和名法人らしき,,,,,,,,,,不明,,
Arthur A. Levine Books,Arthur A. Levine Books,英字ブランド,,,,,,,,,,不明,,
Concorde Home Entertainment,Concorde Home Entertainment,英字ブランド,,,,,,,,,,不明,,
GSI クレオス(GSI Creos),GSI クレオス,和名法人らしき,,,,,,,,,,不明,,クレオス | GSI | GSI Creos
Bodley Head,Bodley Head,英字ブランド,,,,,,,,,,不明,,
LEMFUTER,LEMFUTER,英字ブランド,,,,,,,,,,不明,,
Grace nnvg,Grace nnvg,英字ブランド,,,,,,,,,,不明,,
PGYTECH,PGYTECH,英字ブランド,,,,,,,,,,不明,,
Weidenfeld & Nicolson History,Weidenfeld & Nicolson History,英字ブランド,,,,,,,,,,不明,,
ワンラック (ONE LAC),ワンラック,和名法人らしき,,,,,,,,,,不明,,ONE LAC
日本建設情報センター,日本建設情報センター,和名法人らしき,,,,,,,,,,不明,,
電気書院,電気書院,和名法人らしき,,,,,,,,,,不明,,
三省堂,三省堂,和名法人らしき,,,,,,,,,,不明,,
BOLYDOOM,BOLYDOOM,英字ブランド,,,,,,,,,,不明,,
成山堂書店,成山堂書店,和名法人らしき,,,,,,,,,,不明,,
biaze,biaze,英字ブランド,,,,,,,,,,不明,,
Warner Music Interna,Warner Music Interna,英字ブランド,,,,,,,,,,不明,,
アガツマ(AGATSUMA),アガツマ,和名法人らしき,,,,,,,,,,不明,,AGATSUMA
アミューズソフト,アミューズソフト,和名法人らしき,,,,,,,,,,不明,,
アークシステムワークス,アークシステムワークス,和名法人らしき,,,,,,,,,,不明,,
松竹,松竹,和名法人らしき,,,,,,,,,,不明,,
SME Records,SME Records,英字ブランド,,,,,,,,,,不明,,
GROWNSY,GROWNSY,英字ブランド,,,,,,,,,,不明,,
Project Management Institute,Project Management Institute,英字ブランド,,,,,,,,,,不明,,
True Sign Publishing House Private Limited,True Sign Publishing House Private Limited,海外法人,,,,,,,,,,不明,,
Ruthless Records,Ruthless Records,英字ブランド,,,,,,,,,,不明,,
"Oxford University Press, USA","Oxford University Press, USA",英字ブランド,,,,,,,,,,不明,,
角川エンタテインメント,角川エンタテインメント,和名法人らしき,,,,,,,,,,不明,,
新潮社,新潮社,和名法人らしき,,,,,,,,,,不明,,
MACMILLAN,MACMILLAN,英字ブランド,,,,,,,,,,不明,,
TAMA(タマ),TAMA,和名法人らしき,,,,,,,,,,不明,,タマ
ハナミスイ,ハナミスイ,和名法人らしき,,,,,,,,,,不明,,
OBDLink,OBDLink,英字ブランド,,,,,,,,,,不明,,
Used Purchases,Used Purchases,英字ブランド,,,,,,,,,,不明,,
Fox (Selecta),Fox,英字ブランド,,,,,,,,,,不明,,Selecta
寺田ポンプ製作所,寺田ポンプ製作所,和名法人らしき,,,,,,,,,,不明,,
Shot Navi,Shot Navi,英字ブランド,,,,,,,,,,不明,,
コニーエレクトロニクスサービス,コニーエレクトロニクスサービス,和名法人らしき,,,,,,,,,,不明,,
UNIVERSAL DESTINATIONS & EXPERIENCES,UNIVERSAL DESTINATIONS & EXPERIENCES,英字ブランド,,,,,,,,,,不明,,
