メーカー,レーン,判定理由,商号候補,法人格表記,該当商品数,主カテゴリ,第三者セラー数,屋号型セラー数,CNスコア,CNシグナル,想定仕入れ上限の中央値,Amazon価格の中央値,代表商品,代表ASIN,メーカー検索
OBDLink,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,ScanTool,,1,車&バイク,6,0,0,,8027,14900,OBDLink 427201 LX OBD2 故障診断機 Bluetooth スキャンツール インタフェース Android Windows対応,B00H9S71LW,https://www.google.com/search?q=OBDLink%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Logitech G,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,Logitech,,1,パソコン・周辺機器,2,0,0,,9051,14486,Logitech G502 X Lightspeed Wireless Gaming Mouse - Optical Mouse with LIGHTFORCE,B0BCQ83WL9,https://www.google.com/search?q=Logitech%20G%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
POLED,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,POLED,,1,ベビー&マタニティ,2,0,0,,5348,15840,Poled公式 エアラブ4プラス オレオ ベビーカーシート クールシート 暑さ対策 送風機付き インナークッション インナーシート インサート ひんやりシート ,B0DXL4GR7M,https://www.google.com/search?q=POLED%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ASUS,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,ASUS,,1,パソコン・周辺機器,6,4,0,,9062,16280,ASUS TUF GAMING B550M-PLUS AMD Ryzen 5000シリーズ AM4 対応 B550 搭載 mATX マザーボード/国内正規代理店,B089Y17DNC,https://www.google.com/search?q=ASUS%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
PGYTECH,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,PGYTECH,,1,家電&カメラ,6,1,0,,9990,16862,PGYTECH BEETLE カメラホルスター V2 アルカスイス互換プレート 緩み防止 簡単脱着 カメラホルダー (プレートベース),B0F23GCRRW,https://www.google.com/search?q=PGYTECH%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
PETLIBRO,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,PETLIBRO,,1,ペット用品,2,0,0,,8298,17776,PETLIBRO 自動給餌器 猫 多頭飼いに向け 5L大容量 1日6食 1食0-50分量設定可能 10秒録音 2個のステンレス製トレイ付き猫 中小型犬用 自動餌,B098JK84W5,https://www.google.com/search?q=PETLIBRO%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
PAL&I,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,PAL&I,,1,ペット用品,5,0,0,,378,1680,[ 安心の、日本製。 ] PAL&I パルアイ 犬 シャンプー ペット 低刺激 無添加 [ ふわふわ仕上がり],B0823N2H7Q,https://www.google.com/search?q=PAL%26I%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Suntory,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,SUNTORY,,1,ホーム&キッチン,5,3,0,,163,1767,サントリー 角ハイボールメガジョッキ 700ml,B01BV0KPFC,https://www.google.com/search?q=Suntory%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
pozold,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,,,1,DIY・工具・ガーデン,2,0,0,,347,1899,LEDテープライト 3M RGB テレビバックライト ストリップライト 30leds/m 間接照明 5050SMD USB式 リモコン付き ledテープ 3m ,B0D3H1X88D,https://www.google.com/search?q=pozold%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
A2C,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,,,1,家電&カメラ,2,0,0,,998,2199,A2C 3in1マグネットマウント MagSafe対応 N54強力マグネット17個 調整ストラップ付,B0CWR78ZK9,https://www.google.com/search?q=A2C%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Locatis,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,Locatis,,1,スポーツ&アウトドア,6,1,0,,905,2624,JOK アウトドア ポンプ FLP-68,B001GC5VZ0,https://www.google.com/search?q=Locatis%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
bagasin,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,bagasin,,1,パソコン・周辺機器,2,0,0,,1318,3099,[bagasin] パソコンバッグ 17 17.3インチ パソコンケース ブリーフケース,B0FX9NQ3CF,https://www.google.com/search?q=bagasin%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
SPOSING,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,SPOSING,,1,DIY・工具・ガーデン,3,1,0,,988,3280,SPOSING 盗聴器発見機 【2025年革新型∙高感度探知機】盗聴器発見器 盗撮カメラ 発見器 gps発見機 カメラ探知機 赤外線レーザー 探知機 隠しカメラ,B0DRK922L6,https://www.google.com/search?q=SPOSING%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
La Fairy,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,MIC,,1,ホーム&キッチン,2,0,0,,1534,3980,ラ フェアリー ミニ 電動 振動 リラクゼーション コンセント式 かんたんダイヤル操作,B0DSGSCT5P,https://www.google.com/search?q=La%20Fairy%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ESR,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,ESR,,1,家電&カメラ,2,0,0,,2803,4716,ESR magsafe リング マグセーフ シール 強力吸着 位置合わせクリップ付属 マグネット 磁気ワイヤレス充電対応キット 超薄型 磁気固定メタルリング ス,B0D5R4R2L9,https://www.google.com/search?q=ESR%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Neo Products,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,NEO OYAIDE,,1,パソコン・周辺機器,4,2,0,,2800,5390,NEO by OYAIDE Elec d+ USB Type-C to C class B 1.0m USBケーブル,B08L65QBZS,https://www.google.com/search?q=Neo%20Products%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
GraceDuck,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,GraceDuck,,1,おもちゃ,2,0,0,,1625,5299,150 Pcs マグネットブロック 磁石ブロック おもちゃ 子供 知育玩具 磁石ブロック マグネット 男の子と女の子 おもちゃ 誕生日プレゼント クリスマス ギ,B0D8KV6JHZ,https://www.google.com/search?q=GraceDuck%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
biaze,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,biaze,,1,パソコン・周辺機器,6,0,0,,3259,5711,【24bit/96KHz対応】BIAZE USB サウンドカード 外付け オーディオ 変換アダプタ 高性能DACチップ搭載 USB to 3.5mm マイク・ヘ,B0FF4XLZ3J,https://www.google.com/search?q=biaze%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Sawyer,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,"Sawyer Products,Inc.",,1,スポーツ&アウトドア,2,0,0,,4136,6791,ソーヤー スクィーズフィルター SP129 SAWYER | 携帯浄水器 浄水器 ポータブル浄水器 防災 防災アイテム 災害用 非常用 キャンプ キャンプ用品 ,B00B1OSU4W,https://www.google.com/search?q=Sawyer%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Kreg,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,Kreg,,1,DIY・工具・ガーデン,5,1,0,,4271,7980,Kreg【クレッグ】ポケットホールジグ320 斜め穴あけでネジ頭が隠れる 対応材厚12〜38mm 2x4材対応 2連ドリルガイド,B07VQ9S57K,https://www.google.com/search?q=Kreg%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
KOCHCHEMIE,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,KochChemie,,1,車&バイク,5,0,0,,3227,7600,KOCHCHEMIE (コッホケミー) Plast Star (プラストスター) シリコンフリー 外装ドレッシング剤 UV保護 外装/成形/タイヤ 元のOEMの,B095SXXJQK,https://www.google.com/search?q=KOCHCHEMIE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
GROWNSY,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,GROWNSY,,1,ベビー&マタニティ,6,0,0,,4055,8421,Grownsy 8-in-1 OG ファストボトルウォーマー タイマー付き グリーン,B0C2YP5NJQ,https://www.google.com/search?q=GROWNSY%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Mazuri,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,Mazuri,,1,ペット用品,4,0,0,,552,2059,Ｍａｚｕｒｉ トータス・ダイエット ５６０ｇ ５Ｍ２１－Ｓ,B0CNJHP5YW,https://www.google.com/search?q=Mazuri%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Sangean,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,Sangean,,1,家電&カメラ,2,1,0,,1298,2904,【国内正規品】Sangean SR-32 AM/FMポケットラジオ、単３電池式、ポータブルラジオ、イヤホン付属 (クリアブラック),B0FC6TGJ63,https://www.google.com/search?q=Sangean%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
KOMAINU GAMES,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,KOMAINU GAMES,,1,おもちゃ,2,0,0,,1316,2970,アリスの時間迷宮 第二版 - 1人用デッキ構築ゲーム、30-180分、12才以上対象,B0DH4QBCY7,https://www.google.com/search?q=KOMAINU%20GAMES%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
ANTERCITE,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,,,1,スポーツ&アウトドア,5,1,0,,942,2699,【公式】ボールパークドットコム PROTEIOS（プロティオス） グラブトリートメント 150ml スプレーボトル グラブメンテナンス (1本),B091KSMZ8T,https://www.google.com/search?q=ANTERCITE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
AOZTSUN,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,AOZTSUN,,1,ベビー&マタニティ,2,0,0,,1044,3299,AOZTSUN ベビーモニターマウント Babysense HD S2/ V43モニターおよびその他のベビーモニターに対応 1/4ネジ穴15.7インチ フレキシ,B0C3L5X6LY,https://www.google.com/search?q=AOZTSUN%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
VINSGUIR,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,VINSGUIR,,1,おもちゃ,5,0,0,,1267,3419,VINSGUIR(ビンスグイア) ピックルボールパドル 2本セット USAPA承認 軽量ファイバーグラスラケット ハニカムコア付き ピックルボール4個＆キャリー,B0BNTL3Q2C,https://www.google.com/search?q=VINSGUIR%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Panovol,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,Panovol,,1,パソコン・周辺機器,2,0,0,,1581,3590,Panovolタブレットスタンド【2026革新型・隠し式台座・ケーブル固定具付き】 タブレット アーム スマホスタンド 寝ながら４つの関節 折り畳み式 角度+高,B0CMX6NT42,https://www.google.com/search?q=Panovol%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
JLM,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,JLM LUBRICANTS,,1,車&バイク,6,2,0,,1421,3929,JLM アドブループラス 250ml ディーゼル アドブルー 結晶化防止添加剤 AdBlue Plus J02385 車両 整備 故障予防,B0BVBYHXTL,https://www.google.com/search?q=JLM%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Bicycle,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,PassePasse,,1,おもちゃ,3,1,0,,3279,6061,BICYCLE(バイスクル) ライダーバック STANDARD トランプ 12個パック（青6個/赤6個））,B001AAK3BK,https://www.google.com/search?q=Bicycle%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Tamagotchi,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,Bandai Namco Toys & Collectibles America,,1,おもちゃ,4,0,0,,2868,6685,タマゴッチ・ナノ x スターウォーズ - ダース・ベイダーとシリコンケースセット,B0DSXX8Z54,https://www.google.com/search?q=Tamagotchi%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
G7th,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,G7th,,1,楽器・音響機器,2,0,0,,4258,7800,【正規輸入品】 G7TH PERFORMANCE 3 ART CAPO 6弦アコ-スティック/エレクトリック用 SILVER(シルバー) カポタスト,B07NDW6XRS,https://www.google.com/search?q=G7th%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
Macally,B_英字レーン,日本語シグナルなし→人手/HTTP確認が必要,Mace Group Inc / Macally Peripherals,,1,パソコン・周辺機器,4,1,0,,4016,8072,Macally USB有線コンパクトキーボード|マウサースモール＆スリムデザイン Apple Mac Mini/iMacデスクトップ、MacBook Pro/A,B0777GCK68,https://www.google.com/search?q=Macally%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8
